images,predicted label
data - 20230513_114157-d257fc18-d69b-4346-82ab-ca9ea760885d-cutout.jpg, 'Reeg®RED
data - 20230513_114757-0713e86f-2b0e-4e71-bbe9-db24d5fe7c8a-cutout.jpg,510 Spigzy—
data - 20230513_114757-20901947-3881-4a76-84ba-e0c74eeee51e-cutout.jpg,oN
data - 20230513_114757-3eda6ace-e46a-4c15-8b02-91065946e25f-cutout.jpg,"Ba,5"
data - 20230513_114757-571fe5e2-e15e-4ec3-9cf7-879169b89f4a-cutout.jpg,510 Spigzy—
data - 20230513_114757-944d8896-2bdd-4c4c-a9c3-6463ce492a35-cutout.jpg,"Ba,5"
data - 20230513_114757-a98a645c-7d8a-45c5-a9a0-cc5e9d1b56b3-cutout.jpg,oN
data - 20230513_114826-0f423958-7cde-48ef-87de-63e489700efb-cutout_VY589.jpg,>?
data - 20230513_114826-114848f2-ae1c-4d67-92bb-630898929d8e-cutout.jpg,>?
data - 20230513_114826-6ca7fef1-1421-47e7-aec2-a2ffed8c0f0d-cutout.jpg,Pe“ESS
data - 20230513_114826-70b2b42a-3bf7-4dfc-86a0-f5d4c44cc3ef-cutout_VY589.jpg,Pe“ESS
data - 20230513_114826-c758a07f-457e-4df5-8da4-25210143acc7-cutout.jpg,——
data - 20230513_114826-de00ccd9-1a5e-4bb7-b2e7-d3aaed8e28d2-cutout_VY589.jpg,——
data - 20230513_115257-43195698-57f5-4b5a-b0b1-71e0ba511b4a-cutout_TU737.jpg,vUrSy
data - 20230513_115257-47913ec0-2201-41cf-9ca0-985765caee04-cutout_TU737.jpg,vUrSy
data - 20230513_115257-7e8e3030-6145-4066-9f2e-57a43a45e501-cutout_TU737.jpg,
data - 20230513_115257-8ebf1c3c-68c8-4965-8344-2dd9471b31de-cutout_737.jpg,
data - 20230513_115257-9d494b6e-bfd1-4784-ae69-4e84bd16bbdd-cutout_TU737.jpg,=
data - 20230513_115257-bce04851-ec1d-4150-b0d7-fbe9dd0e82ed-cutout.jpg,
data - 20230513_115257-c799778b-ee1f-473b-980f-2fe01965c498-cutout.jpg,
data - 20230513_115257-f00bf45c-259a-48d6-b78c-c9c5213469f2-cutout.jpg,=
data - 20230513_115917-0d403853-d2c9-40b7-a75a-d84bf3d96c0d-cutout.jpg,~™A
data - 20230513_115917-1e07d438-42a4-4dbe-8f7e-c02655c33ba6-cutout.jpg,==
data - 20230513_115917-472f1f08-f9fb-41c1-a81e-d8e040f4fb0e-cutout.jpg,==
data - 20230513_115917-66072543-d91c-42e8-8d1a-878fd4b0c604-cutout.jpg,~™A
data - 20230513_115917-e777d80e-4853-4de5-97be-3f1ab2eb7eee-cutout.jpg,
data - 20230513_115917-ec31ad72-91fb-48c8-8c7b-855aff63eebc-cutout.jpg,
data - 20230513_120927-32eb58ed-b9f2-480f-a5ba-ce76ed3dd12c-cutout.jpg,aa 9
data - 20230513_120927-3f2ac0dd-6298-42e2-af7d-a7103ff81995-cutout.jpg,a— =
data - 20230513_120927-3f800149-e41d-4116-8df4-3e091eef62a8-cutout.jpg,a— =
data - 20230513_120927-d0c1845e-f4fc-473b-a06a-11b254e88ff9-cutout.jpg,aa 9
data - 20230513_121136-0882e0e4-f3e1-42e0-b087-e16adbe3280c-cutout.jpg,
data - 20230513_121136-1e9a9035-266e-45f3-8832-1ce2ab917138-cutout_WG496.jpg,
data - 20230513_121136-4583398d-1c09-46e5-a342-d6a64519bbcc-cutout.jpg,
data - 20230513_121136-9f022f6c-42e0-4ef1-a34d-ea75d2cf89c1-cutout.jpg,
data - 20230513_121136-a6a0403c-a303-4319-a73a-c1aba0cca60d-cutout.jpg,
data - 20230513_121136-eb886b64-ef24-449c-bcff-076825e07413-cutout.jpg,
data - 20230513_121136-f75c527a-119d-4b53-b678-d1320876ec11-cutout.jpg,“S)
data - 20230513_121136-ffe89e03-730e-471e-af56-e24dce52a0cf-cutout.jpg,“S)
data - 20230513_122758-02798c06-5918-482c-a2b7-017922fc8a8e-cutout.jpg,WSRSS
data - 20230513_122758-1651c400-b5ef-4fd4-a608-779f1f370aef-cutout.jpg,"epee es ‘as zi : .ase, er) ean = aeSe el i eeeeg yn oe SS c—a i preee :SS S —ee Sy. ae w== ie a = Se =>= a +=)-4 EI wi We —_~ aS =— a y hs ane ee"" —— ene : ; = ;Pe -_ et = +4 =— ————— ge—— Te = _ ~ yf —i = A ere= ——- ac, a = =.ae ee = =SS Ee YN"
data - 20230513_122758-254ee48f-a4a6-4dcc-b110-b6adfcb91f0f-cutout.jpg,WSRSS
data - 20230513_122758-2c202a6d-d608-4d6a-98e1-d6854b204ec3-cutout_WG496.jpg,aeS&B
data - 20230513_122758-3ab9ac22-2951-4452-b8f2-c6a81ac90b70-cutout.jpg,aeS&B
data - 20230513_122758-3c2bf92d-00ca-47f6-9b0b-ad164f7d5866-cutout.jpg,aB8%
data - 20230513_122758-73c86e0f-328c-4537-8846-cd6d66f20bcc-cutout.jpg,Ww8%
data - 20230513_122758-c4e5874f-4eb6-4cb0-83e9-4b8a03240a19-cutout.jpg,"epee es ‘as zi : .ase, er) ean = aeSe el i eeeeg yn oe SS c—a i preee :SS S —ee Sy. ae w== ie a = Se =>= a +=)-4 EI wi We —_~ aS =— a y hs ane ee"" —— ene : ; = ;Pe -_ et = +4 =— ————— ge—— Te = _ ~ yf —i = A ere= ——- ac, a = =.ae ee = =SS Ee YN"
data - 20230513_122758-d6bce1fe-d11b-477a-b0fa-933bb4dc1125-cutout_WG496.jpg,Ww8%
data - 20230513_122758-e9480e5c-c957-45d5-84cc-7c5239956024-cutout.jpg,aB8%
data - 20230513_122808-056b0873-2439-4676-b5f7-4f07fdfc61d6-cutout.jpg,WSNS
data - 20230513_122808-44990edf-81d2-4ea4-b221-1f53442ec15b-cutout.jpg,NSdS
data - 20230513_122808-5e57afd5-f764-4f3f-a1bd-545794c9534f-cutout.jpg,SsSS
data - 20230513_122808-80396321-7e95-4168-8623-0a2a0e315c91-cutout.jpg,WSAS
data - 20230513_122808-8e0fa1e2-235f-4330-b562-9fb6781ece36-cutout.jpg,WSNS
data - 20230513_122808-b7a1efdb-8f7a-4496-b754-07312ff91e5a-cutout.jpg,WwNSS
data - 20230513_122808-ca636a59-f0a4-4f04-829e-7c56d285493e-cutout.jpg,WSAS
data - 20230513_122808-d60286c3-5140-443b-8181-73a37a16d3a2-cutout.jpg,NSdS
data - 20230513_122808-e9101901-3200-4da1-b909-8290038e6728-cutout.jpg,SsSS
data - 20230513_122808-eba5f3e3-8849-49b7-bffb-150950402d96-cutout.jpg,WwNSS
data - 20230513_122817-0347a319-7c05-4666-ad8a-57c062068ea6-cutout.jpg,a8G
data - 20230513_122817-2e8495b7-31b8-48f0-bd2d-dfc8a06471b2-cutout.jpg,a8G
data - 20230513_122817-5153e01f-8f50-4cb5-9970-0cec44da5170-cutout.jpg,NSISS
data - 20230513_122817-565078d5-b6a2-49ed-a1d8-b116d3a68e7b-cutout.jpg,wsQB
data - 20230513_122817-70fff80a-deec-48bd-a3b4-63c892ba544e-cutout.jpg,WwNS
data - 20230513_122817-84440236-32c7-4117-9e18-c11097072a3c-cutout.jpg,QSQo
data - 20230513_122817-92844438-6e6f-4afe-b064-7db2bdf3acb2-cutout.jpg,WwNS
data - 20230513_122817-976efda5-3cee-490a-b17c-18d18bbf2143-cutout.jpg,NSISS
data - 20230513_122817-aef4a6f0-5846-465b-ba2e-89abed05f959-cutout.jpg,wsQB
data - 20230513_122817-e3111353-2976-4f52-b37a-09556e7ea357-cutout.jpg,QSQo
data - 20230513_122825-11038511-cf10-4cfd-8ebd-6c5fdc2d99d8-cutout.jpg,YSSS
data - 20230513_122825-2fc036c2-fefb-4ff9-a0d8-d3279bcda572-cutout.jpg,WSWG
data - 20230513_122825-3fcf6098-f940-4cb2-8c9e-5970a8cb58c3-cutout.jpg,WSWG
data - 20230513_122825-689fa2d4-204b-40ec-909b-6c1e4240052a-cutout.jpg,QSSY
data - 20230513_122825-6979fd49-5942-4052-b810-aacf041812f8-cutout_WG496.jpg,WwISS
data - 20230513_122825-ad2d9f51-7ea7-4344-89bd-69c9713a8979-cutout.jpg,YSSS
data - 20230513_122825-b1ff7284-1de4-4267-9eb9-7b4330fad7d7-cutout.jpg,NSSo
data - 20230513_122825-d5f35538-e17e-4ebc-ada3-3298cda150de-cutout.jpg,NSSo
data - 20230513_122825-e59f2d82-a379-4648-8068-13c84b1b129e-cutout.jpg,QSSY
data - 20230513_122825-fe2523ae-3d54-4423-b2e9-671b0defb189-cutout_WG496.jpg,WwISS
data - 20230513_122835-1dda7435-f150-4688-87d6-d985eb3ae976-cutout.jpg,<S
data - 20230513_122835-1f9eeb42-0ae6-4f31-8fbf-d0820f1b7683-cutout_WG496.jpg,QSSS
data - 20230513_122835-270ebc4b-27f9-4193-84cd-66925aa10c81-cutout.jpg,WwSH
data - 20230513_122835-2be3b3d9-d812-4821-a76f-edbc1655102b-cutout.jpg,<S
data - 20230513_122835-36ba7790-b683-42e0-9730-04f17ff59b8f-cutout.jpg,WSSy
data - 20230513_122835-406b0aa3-7590-4b17-af44-161cca7a4ccc-cutout.jpg,WwSH
data - 20230513_122835-5d520322-f20d-4249-9801-9e8fcfa97c0f-cutout_WG496.jpg,QSSS
data - 20230513_122835-8cc7ea8e-2bc7-4409-a7cc-5b079468ef01-cutout.jpg,WSSy
data - 20230513_123540-3a03a2d8-8ee1-4d83-9aec-c9d991a70ccc-cutout.jpg,Ti53!
data - 20230513_123540-3e0fdb25-12bc-4432-9b3c-2a853c2f12c3-cutout.jpg,Ti5o!
data - 20230513_123540-3fa8d17d-9d0f-4e38-8c13-e5e49f35f342-cutout_TZ597.jpg,T1531
data - 20230513_123540-41da5a54-6093-4b6e-b015-ce3f1d27d9d8-cutout_TZ597.jpg,T1597
data - 20230513_123540-6ef9d5f8-eec4-484a-9c62-45c30c22a745-cutout_TZ597.jpg,11597
data - 20230513_123540-723ef1d2-8ea1-4c65-8e0d-1a005b4af58c-cutout_TZ597.jpg,Ti53!
data - 20230513_123540-895fa3d4-067c-4ec1-9d3f-89c279c1ce62-cutout_TZ597.jpg,T1597
data - 20230513_123540-b17d3072-5fc6-42d9-be73-6999e0610a67-cutout_TZ597.jpg,11597
data - 20230513_123540-b1b1aa2d-47a5-4c21-8e70-4b70885ab12a-cutout_TZ597.jpg,Ti5o!
data - 20230513_123540-ba0c6162-cec3-4c3c-9b43-f9612fbc2042-cutout_TZ597.jpg,T1531
data - 20230513_124028-083ddbb0-16ab-4161-868a-912bce037bb6-cutout_KZ232.jpg,__
data - 20230513_124028-2632ba83-f49f-430a-90ad-ff70f083467f-cutout_LM95.jpg,—_
data - 20230513_124028-26a56d70-758b-4fb8-9db7-4156f1146b10-cutout_KZ232.jpg,__
data - 20230513_124028-3467a3b6-22ce-4498-9c60-e1fbdb57116f-cutout_KZ232.jpg,__
data - 20230513_124028-5189433c-c57f-41a2-9077-594cb70c933f-cutout_KZ232.jpg,ee
data - 20230513_124028-65e09530-c092-41ea-ac27-24a2842daa89-cutout_LM95.jpg,—_
data - 20230513_124028-7c358ba3-2281-4d20-a9cb-261dbc84b231-cutout_KZ232.jpg,__
data - 20230513_124028-9f60c721-b3b4-4ccf-8d83-721572e32ef4-cutout_KZ232.jpg,a
data - 20230513_124028-c220455d-6d9c-4c01-9586-7504e067e4fb-cutout_KZ232.jpg,a
data - 20230513_124028-e20905fe-a6d5-45ad-b52a-c0aa64b0d6aa-cutout_KZ232.jpg,ee
data - 20230513_144126-0563b78d-8d02-492d-9b4e-60f4a3628bd3-LN388.jpg,uss
data - 20230513_144126-556257cd-2271-4172-9c48-629977cbfb64-LN388.jpg,uss
data - 20230513_144126-56a667d4-f71e-4315-bba4-c33d70427439-LN388.jpg,Luses
data - 20230513_144126-5896e97c-c96a-4444-8280-80f5d9aae247-LN388.jpg,Luses
data - 20230513_144126-862072a1-b810-40c8-a169-2f2d0a0bbc3b-cutout.jpg,aoe
data - 20230513_144126-d97505a2-390c-4fa3-995e-ee4f69e239cd-cutout.jpg,aoe
data - 20230513_144421-1a56ea77-0c46-4cf8-95a5-8eb1d5f07e2b-cutout_VI385.jpg,NBS §
data - 20230513_144421-3201474c-da8d-4f6c-873f-940ad04fc5bd-cutout_VI385.jpg,BES
data - 20230513_144421-8092d0e8-da90-4071-bd9b-40b74a9a7d4a-cutout_VI385.jpg,BES
data - 20230513_144421-c090c902-4b49-468c-8508-0d2f13bcfa45-cutout_VI385.jpg,NBS §
data - 20230513_145149-1e03b4a1-0720-4211-b9de-7aa3a98a786d-cutout.jpg,th
data - 20230513_145149-4a688d0b-4be4-4691-9c7c-93a0e96a0574-cutout.jpg,th
data - 20230513_145820-1b2eb198-fbae-45a4-846e-4138e42762bb-cutout.jpg,
data - 20230513_145820-3f3f42ac-590a-4094-8472-ddab7b7d45a1-cutout.jpg,
data - 20230513_145820-58747c1c-71ee-49bd-9e4c-8c4bd1514eec-cutout.jpg,
data - 20230513_145820-7fe59ccb-8156-45c3-b24f-ce01ba6122f5-cutout.jpg,
data - 20230513_145820-b92d4711-d54b-406c-9f6e-af16ebb0f76c-cutout.jpg,
data - 20230513_145820-ef4b4b7e-6c42-4cf1-8253-0a1fe5cb0f68-cutout.jpg,
data - 20230513_151011-2d9bf316-6e63-4ed3-8c2b-1ba3de57f1db-cutout_VY623.jpg,NYGZS
data - 20230513_151011-a78bad5e-acfd-475c-b2bb-7dd185ff5819-cutout_VY623.jpg,NYGZS
data - PTZ_motion_20230323_160726-0713c8b0-02d9-4b3d-bfe5-f2ba9dad1e9d-cutout.jpg,
data - PTZ_motion_20230323_160726-7e1a5b17-061d-431a-a9b0-7b9c22d0d8f4-cutout.jpg,
data - PTZ_motion_20230323_160726-f4f91c26-42c7-4eed-9907-921337609a66-cutout.jpg,aSS
data - PTZ_motion_20230323_160831-PG978-1593fdb7-28eb-4cb1-95ac-a2ed2749378d-cutout.jpg,——Paom— 2
data - PTZ_motion_20230323_160831-PG978-315fc86d-9896-4bdc-8418-f8ec0596f615-cutout.jpg,Saeoprs—
data - PTZ_motion_20230323_160831-PG978-5b71e8eb-bca9-46f1-8680-8d1388bb3160-cutout.jpg,aPa978—
data - PTZ_motion_20230323_160831-PG978-8fd0ffee-a2f5-4cfb-8eee-71ab80074a18-cutout.jpg,aPuyas.
data - PTZ_motion_20230323_160831-PG978-a35ad3dc-a9a1-4e5e-ba0f-d451130b4f0d-cutout.jpg,"—raom,"
data - PTZ_motion_20230323_161447-ed8ea5d7-a881-404c-a28f-4b83157e30a0-cutout_GF629.jpg,—
data - PTZ_motion_20230323_161540-GF629-7be927c5-5347-44b9-94cb-f0e8870370c4-cutout_GF629.jpg,————
data - PTZ_motion_20230323_161540-GF629-af208ebf-c662-430f-a71e-1ad427caf8c9-cutout_GF629.jpg,
data - PTZ_motion_20230323_161540-GF629-e3217d85-574b-4eef-9350-0a5098ee3f37-cutout_GF629.jpg,
data - PTZ_motion_20230323_161821-6af0fcea-06d7-48a3-9273-d349adaa7c63-cutout.jpg,ae
data - PTZ_motion_20230323_161831-c63a5302-68d0-45e2-ae2d-2e1f727428c8-cutout.jpg,— <a
data - PTZ_motion_20230324_104153-DW573-3a53bb15-336d-4985-880e-36cc400deb7f-cutout_LW573.jpg,——573
data - PTZ_motion_20230324_104153-DW573-586c460e-b640-47d2-b656-b7009ec508a9-cutout_LW573.jpg,—iw3.
data - PTZ_motion_20230324_104153-DW573-d6be73c7-103d-415a-83d3-554ab9199bee-cutout_LW573.jpg,EJ
data - PTZ_motion_20230324_104204-6414cdbf-4a3c-4001-85e7-2412eef1a2c9-cutout.jpg,——Wwbey
data - PTZ_motion_20230324_104204-df5fefb2-fa89-4fa8-b598-5232f580f81a-cutout.jpg,——biEs
data - PTZ_motion_20230324_104504-5c720e86-9f56-49a0-af8e-5160741da0cd-cutout.jpg,
data - PTZ_motion_20230324_104504-fdd652fc-4e27-4ce4-9b52-b3ca4786ebf6-cutout.jpg,
data - PTZ_motion_20230324_105255-VW873-08351ef1-c2ce-4d97-b1b9-61a74f6b4b35-cutout_VW873.jpg,wwar3
data - PTZ_motion_20230324_105255-VW873-1d35e07b-f98c-42d7-882e-c92e80661b0f-cutout.jpg,
data - PTZ_motion_20230324_105255-VW873-b09cfb10-6797-4f99-a312-001d110b8228-cutout_VW873.jpg,waa?
data - PTZ_motion_20230324_105255-VW873-e97d6fab-59ca-4ddb-80d6-b38cb91fa3c3-cutout_VW873.jpg,vwa7s
data - PTZ_motion_20230324_110038-LW573-44f9f407-1d42-47b2-9072-76365d581de4-cutout_LW573.jpg,—WwS73.
data - PTZ_motion_20230324_110106-LW573-3d2b660e-3819-4732-9ef3-2eeec67c3502-cutout_LW573.jpg,—(DY(a
data - PTZ_motion_20230324_110106-LW573-6f9c8359-c946-4adc-b492-02dcd8ead3d2-cutout_LW573.jpg,———_ofr]
data - PTZ_motion_20230324_110106-LW573-8a682401-f6db-402d-9859-56b469bef575-cutout_LW573.jpg,——_—TI
data - PTZ_motion_20230324_110550-a2a6d5cf-2c1b-431c-9ca7-e311352bca0d-cutout.jpg,
data - PTZ_motion_20230324_111914-46b4a7c0-f38f-496f-955b-fcbc784b1afa-cutout.jpg,=
data - PTZ_motion_20230324_111914-52501978-7294-43de-8ea5-5373225e3d7d-cutout.jpg,"SES,"
data - PTZ_motion_20230325_080708-167baaa3-bbc8-43ed-97f2-70a019e768e6-cutout.jpg,%
data - PTZ_motion_20230325_080708-5450b70b-a4d5-4e8c-a0fd-a1953ade0b52-cutout.jpg,——a
data - PTZ_motion_20230325_083314-334b49c4-3038-482a-a522-f02450f86b0c-cutout.jpg,
data - PTZ_motion_20230325_083314-4956abb8-b35c-45d8-a840-42bd01280e63-cutout.jpg,
data - PTZ_motion_20230325_083314-55fdaf71-ea81-4eb9-8f05-4fdd16e331fb-cutout.jpg,
data - PTZ_motion_20230325_083314-7a027f3c-1083-4e6b-986e-8d5c3f6d2c6e-cutout.jpg,
data - PTZ_motion_20230325_083314-aa9a3f4c-fcc5-431c-babd-62d5cb5ae680-cutout.jpg,
data - PTZ_motion_20230325_090414-aa61b879-c8b8-4f33-b380-6c87ab2f6234-cutout.jpg,ee
data - PTZ_motion_20230325_090414-d0e9ebf1-780c-46bc-9f58-24b0b9f7c4a8-cutout.jpg,
data - PTZ_motion_20230325_090414-ff7e5afe-2a37-402d-91b6-883572794b8a-cutout.jpg,—_—— _
data - PTZ_motion_20230325_094116-0cd1961b-a209-4b38-b73c-91b6fb447f18-cutout.jpg,A
data - PTZ_motion_20230325_094116-32da96eb-ae69-4643-b63b-4fa136625003-cutout.jpg,a
data - PTZ_motion_20230325_094116-832b4a5d-202f-48c0-88c8-8525bd2a8611-cutout.jpg,Se
data - PTZ_motion_20230325_094116-94aa2f7e-44e5-4988-94f0-1b9e4d755fd9-cutout.jpg,Th
data - PTZ_motion_20230325_094116-af6fb788-f97a-4c52-913a-61811458be1b-cutout.jpg,a)
data - PTZ_motion_20230325_094129-059b6c60-5212-41c7-913b-768ce6afa499-cutout.jpg,TAT
data - PTZ_motion_20230325_094129-250ea699-9141-4937-a3ed-f067941be6c9-cutout.jpg,Ww
data - PTZ_motion_20230325_094129-2a9070e4-b619-458e-9835-119bb4c95360-cutout.jpg,Tey
data - PTZ_motion_20230325_094129-72dc487e-d7b6-47c0-a3eb-7518db6011e3-cutout.jpg,Wry
data - PTZ_motion_20230325_094129-e48f8e5c-f836-4adf-83c2-6fee4ce67989-cutout.jpg,
data - PTZ_motion_20230325_094138-6064bac7-d3a6-4d5f-b65c-fc95364ac3d8-cutout.jpg,
data - PTZ_motion_20230325_094138-83329b1b-dc08-4655-a255-d69d94c6affe-cutout.jpg,———
data - PTZ_motion_20230325_094138-dd58974a-c60d-4ad6-87c0-9ed4b0cac702-cutout.jpg,
data - PTZ_motion_20230325_105002-494420ee-410c-42fa-8112-642608a57056-cutout.jpg,
data - PTZ_motion_20230325_105002-997850a1-71e8-4701-891b-0dd3756c6e6e-cutout.jpg,—
data - PTZ_motion_20230325_113544-7f3a7ecd-6d37-498e-afdc-f1d86736a9e0-cutout.jpg,
data - PTZ_motion_20230325_113544-a7ae85d2-2e6a-48b3-9580-843381b60045-cutout.jpg,_
data - PTZ_motion_20230325_113544-ed199f9a-d197-4a96-a348-62269640120b-cutout.jpg,—_
data - PTZ_motion_20230325_124315-ba981434-5d05-4464-a7e4-85e180cacb2c-cutout.jpg,iy
data - PTZ_motion_20230325_124315-e6dce7e0-e768-4a7b-aa0a-8d3a70cab2e3-cutout.jpg,‘tng
data - PTZ_motion_20230325_131219-1dd998c6-6c77-435e-b159-1428bedbebfc-cutout.jpg,ee_ 06692
data - PTZ_motion_20230325_131219-8ecdf423-4578-4c49-94e6-f2c9770a0980-cutout.jpg,W683
data - PTZ_motion_20230325_131219-db3b9009-5966-4e34-94a0-89cdce3c2aa4-cutout.jpg,tity
data - PTZ_motion_20230325_131219-f72033b9-61d8-4351-9578-1a0b5ef3d555-cutout.jpg,_ eas
data - PTZ_motion_20230325_131833-2feeed78-2c82-4d55-991d-b427a1f78a1a-cutout.jpg,we
data - PTZ_motion_20230325_131833-9635a72e-fdc3-4f2b-9de4-7b3429c09aae-cutout.jpg,ry
data - PTZ_motion_20230325_131833-e2ddf4d6-34db-4113-bbf4-5a9edee0cbbe-cutout.jpg,ry
data - PTZ_motion_20230325_133531-72935937-dae0-406c-9327-8781f7412b4a-cutout.jpg,-—
data - PTZ_motion_20230325_133531-ae8cf29f-ea3d-4c51-80c9-8fec5dd15cc7-cutout.jpg,
data - PTZ_motion_20230325_133531-b4525288-720f-4672-a449-819943cc8005-cutout.jpg,
data - PTZ_motion_20230325_133531-f3002118-eff6-47bc-a993-22f15d159c22-cutout.jpg,
data - PTZ_motion_20230325_134402-08de6d30-29ab-4f9a-b76c-11fac2767596-cutout.jpg,
data - PTZ_motion_20230325_134402-09bd15c4-d209-4273-919b-e51da3becebe-cutout.jpg,
data - PTZ_motion_20230325_134402-389dbc7c-1db0-4cc0-956d-4aa38510d86b-cutout.jpg,
data - PTZ_motion_20230325_134402-c517cab9-2eca-4168-b82e-cf1a5503de86-cutout.jpg,Aa
data - PTZ_motion_20230325_134402-ec320f0e-8fa1-4b9f-bac2-d78a7952a858-cutout.jpg,
data - PTZ_motion_20230325_135741-35c07f0a-f870-41b1-8d4c-875cd59526d9-cutout.jpg,
data - PTZ_motion_20230325_135741-b6479f57-f230-4484-86c1-166a7c7973ba-cutout.jpg,fay
data - PTZ_motion_20230325_135741-f82523bc-57cc-4707-ad46-6d5683c3c0ff-cutout.jpg,Cay
data - PTZ_motion_20230325_135741-fe60eab7-10c9-4bdc-bcc1-e5e6c7751b4f-cutout.jpg,—ae
data - PTZ_motion_20230325_142845-d3cbec33-e4c9-4a6d-87fd-b0c7a47310b6-cutout.jpg,Le
data - PTZ_motion_20230325_150733-0e76d7d4-eeb2-4654-9c1e-129f06ff2c07-cutout.jpg,as
data - PTZ_motion_20230325_150733-5195a8ec-31f5-4b61-bfc6-c41619b60154-cutout.jpg,_ iy
data - PTZ_motion_20230325_150733-c1228537-f3af-4742-8738-3d74f9f5d39e-cutout.jpg,
data - PTZ_motion_20230325_150733-def60049-bb66-46af-841c-52401b623f8e-cutout.jpg,Res
data - PTZ_motion_20230325_150742-1be91e5c-e04a-4dad-a672-60b41e2fab98-cutout.jpg,iy
data - PTZ_motion_20230325_150742-76abe6f4-fc04-4c32-bae4-c4b42586eb1a-cutout.jpg,>
data - PTZ_motion_20230325_150742-c969de2b-1f62-446b-91e7-8ac111c14371-cutout.jpg,a]
data - PTZ_motion_20230325_150742-ce158c2c-a76c-4eb6-bef1-3367f9307c2e-cutout.jpg,ie
data - PTZ_motion_20230325_150742-feb959be-c0f5-419e-bada-66d7b20c2378-cutout.jpg,we
data - PTZ_motion_20230325_151407-a57cfe65-6a07-488c-a50a-31887478ef05-cutout.jpg,
data - PTZ_motion_20230325_151407-b2478097-e3a2-4047-aa7f-c17121b96fb6-cutout.jpg,
data - PTZ_motion_20230325_151407-c01d257b-08b4-4480-8535-b5bf33db7a94-cutout.jpg,“aw
data - PTZ_motion_20230325_161738-33174aff-2fe4-4677-801d-3190391e2872-cutout.jpg,
data - PTZ_motion_20230325_161738-bd7c2bc4-29ea-421b-9666-468122d523f1-cutout.jpg,ARGAT
data - PTZ_motion_20230325_161738-f139c26c-9e09-4b98-b9cc-31f19e074dc0-cutout.jpg,
data - PTZ_motion_20230325_161738-f927e634-bfb5-4c9b-970a-a22e79702773-cutout.jpg,
data - PTZ_motion_20230325_162033-5d4deaf8-2129-4436-a69d-6f2c73e7acf6-cutout.jpg,
data - PTZ_motion_20230325_162033-7bd78bbd-93d5-4691-9746-fceaed40538a-cutout.jpg,—T4
data - PTZ_motion_20230325_162033-8ab39f5f-d1df-4192-9d87-fed61b208514-cutout.jpg,
data - PTZ_motion_20230325_162033-e1a70e80-da84-47db-932d-ece158f6c02f-cutout.jpg,
data - PTZ_motion_20230325_162033-f6d273f1-9e14-42bc-85d1-4e2954f142b3-cutout.jpg,—ae
data - PTZ_motion_20230325_164907-577cb071-df0f-499e-ac6b-fae7a871746e-cutout.jpg,
data - PTZ_motion_20230325_164907-5a551dd9-1fff-4cda-aadc-7fe413e722c3-cutout.jpg,
data - PTZ_motion_20230325_164907-e9d365dc-b522-4c12-ae6e-2b6991848f80-cutout.jpg,
data - PTZ_motion_20230326_075138-1a496ba0-9936-40cc-acd8-d3138559ddc6-cutout.jpg,<=
data - PTZ_motion_20230326_075138-3b47a80f-15b6-4059-8f5c-a7491699356c-cutout.jpg,<>
data - PTZ_motion_20230326_075138-3b5a6dc8-fdb1-410a-b6e5-0c7ee193f7bf-cutout.jpg,% =:=
data - PTZ_motion_20230326_075138-4bd5fded-f07c-4ffb-842c-51d64fed836d-cutout.jpg,>
data - PTZ_motion_20230326_080626-04d4ee9c-d106-46aa-bf11-d39795d75984-cutout.jpg,=
data - PTZ_motion_20230326_080626-3dd214f3-bae0-414a-aac8-498fa5ea61e1-cutout.jpg,=>.
data - PTZ_motion_20230326_080626-4234bbbc-f550-41e4-b650-84917009998a-cutout.jpg,—_—==
